Item code,Description,Price
WTBC0509,Built Core Multi Step Oval 400/33/415
CUEW0056,Copper Enamel Round Winding Wire Grade 2 Class 180 - 1.70mm
AATK0322,Assembly Packet for 1250/11/415  Tanking
ACGK0580,Cork Gasket Cut to Size 8mm for 100/11/415 Ph2
INLV0680,Insulation Packet for 1500/11/400  LV EU Loss Design
ACOT0076,Brass Gland Outdoor CW 63 L
WTOV0365,Oven 2000/33/400
RPEX0101,Transformer Completely Replacement 400/33/415
STTC0742,Steel Top Channels for 1250/33/800  EU Loss Design - AL Winding
WTBC0026,Built Core Standard 160/33/400 AT
WTGF0018,Powder Painted Tank & Cover after Gavanizing Standard I/D  400/11/415
RDFT0274,Fin Type Radiators 200/11/433 for CT1909
INHV0008,Insulation Packet for 100/11/415 HV
INTB0018-T,Crape Paper Tube 20mm (20x24x1800)
STTC0720,Steel Top Channels for 2000/33/400  EU Loss Design - AL Winding
CUEW0011,Copper Enamel Round Winding Wire Grade 2 Class -180  - 0.78mm
ACFG0002,Single Hole Bushing Flag with SS Bolt and Washer
ACGK0048,Rubber Gasket (ACM) for 100kVA 11kV 415V 778(L)x358(B)x10(T)x12(H)mm
SPCC0207,"Connector 10m,  Plug 90�"
STPV0172,"1500kVA 11kV 415V Distribution Transformer with HV, LV Cable Boxes and ISD"
PP0008,O-ring 042x05 FPM70 Viton/Black
INHV0888,Insulation Packet for 2000/33/6300 HV EU Loss Design
WTTK0690,Tanking Multi Step 100/11/400 I/D
ACGK1106,Cork Gasket Cut to Size  8mm for 800/11/415 EU
AAST0179,"Stay Rod 999mm, 840mm & Tie Rod 288mm M12 800/33/400 for CT1904"
CUTW0008,Tapping Wire 37/2.03 mm Bare Copper (120mm2)
TMAS0581,Timber Packet for 160/11/415 Assembly New Design Ph2
INSL0041,DDP Single Layer 0.25x309mm
WTTK1070,Tanking Multi Step Oval 800/33/415 EU
ACGK0097,Cork Gasket Cut to Size (Amorim TD1120 8mm) for 5000/33/11 Old
PTPW0004,Powder Paint RAL7038  PE-F1307 SMO 1000400PX20
INHV0371,Insulation Packet for 1250/33/415 HV
PRAA0003,"Cover Frame AR45, Single"
WTLF0319,LV Winding 2500/33/440
TKFT0110,"Powder Painted Tank & Cover after Fabricating, Tank Welding & Galvanizing for CT1911 5000/33/11 Rev"
PH0010,Teflon Wire Guide with Holding Bracket
STTR0605,Steel Tie Rod for 3150/33/415 EU Loss Design
WTBC0604,Built Core Multi Step 2500/33/415 O/D STD EU
SPVC0092,Resistance Thermometer
CNWA0024,"Cable Tie 4"" White"
PL0002,"MCB, 10A, 1P - Schneider"
PZ0037,Plywood Sheet 8 x 4 x 3/4''
WTTS0134,Testing 2000/33/11
WTLF0598,LV Winding Foil Multi Step 2500/33/400 O/D STD EU
SPVC0154,Radial seal ring
STCB0015,Transformer Standard I/D 100/11/415
TMST0001,Timber Stick 20x24x620mm for 1000/33 Standard Production
INLV0612,Insulation Packet for 1000/33/800 LV EU Loss Design
TMPK0048,Timber Packet for 2000/33/415 CT1964
SSCB0002,Busbar Chamber 200A
SPHW0154,L-Connector -KQ2L06-M5
MCPC0006,Toner HP CB 541A 125A Cyan
STPV0222,400kVA 33kV 415V Indoor Transformer with plug in bushings in MV end & LV Cable box
WTTS0063,Testing EEP O/D 200/33/400
INTB0003,Crepe Paper Tube 20mm (20x24x1000)
WTAS0027,Assembly 800A 30s 33kV ET
PK0025,Black Iron Pipe 3''
SPGS0021,Multi Plug Socket 13A
WTHN0567,"HV Winding of 400 A, 10 Sec, 15kV Earthing Transformer to EEP"
STTC0685,Steel Top Channels for 2000/3.3/440 CT2057
AABC0072,Assembly Packet for 1000/33/400 Built Core
STPK0016,"Steel Channels, Traverse, Frame Foot Set for 630/33/400 CT1938"
TMBC0603,Timber Packet for 2000/33/415 Built Core EU Loss Design
TLMN0172,Hacksaw Blade HS- Eclipse
SGAC0003,Surge Diverter 50KA OBO
SPVC0058,O Ring 515x05 FPM70 Vulcanized Viton/Black
SPGS0040,Wire Code 3 M
INSL0060,DDP Single Layer 0.15x338mm
AAAS0685,Assembly Packet for 2000/3.3/440 Assembly Dyn1
ACOT0297,"Current Transformer Indoor Cotton Tape Wound Ring Type (Measurement Type) 300/5A, 15VA/0.5"
CUAS0242,Copper Lead Set for Multi Step Oval 800/33/400 Assembly
ACVL0001,Oil Drain Valve NW 22 DinType
PTLQ0034,Liquid Paint Interseal 67HS
WTOV0742,Oven Multi Step 1250/33/800 O/D STD EU AL
PL0034,GIC CBCT 57m for Earth Leakage Relay 30MA-30A
ESLA0009,Electrical Steel 085 W/kg 0.23 x 130mm
SPLW0061,SENSOR PNP 24V DC 1.2mm M8x33 XS1N08PA340
CUFX1137,Flexible Braided Connector for 630/33/433
SPVC0086,O-ring 013x02 FPM70 viton/black
WTTK0509,Tanking Multi Step Oval 400/33/415
INDL0049,DDP Double Layer 0.15x463mm
WTTS1105,Testing Multi Step Oval 630/11/415 EU
PK0021,Black Iron L Baw 90 Degrees - 3'' (Weldable)
WTTS0840,Testing Multi Step 2000/11/415 STD EU with LV Cable Box & Plug in Bushings
SPTL0043,Spare Parts for Pneumatic Torque Wrench
CNMN0030,Wiring duct 45 x 45 x 2 Mtr
TKFT0073,"Powder Painted Tank & Cover after Fabricating, Tank Welding & Galvanizing 1000/33/415 RD1902(G) Ph1"
AALG0024,Lug 10mm x 150mm
WTLF0072,LV Winding Outdoor 1000/33/400
