Checkbox,Icon,Selected,Item code,Tag,Description,Quantity kg/l/nos,Ex. Works Price,CIF,Duty Free,Duty Paid,Export
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1000/33/415 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1000/33/690 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1250/33/690 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1600/33/690 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),2000/33/690 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),2500/33/690 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),3150/33/690 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),4000/33/690 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1000/33/800 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1250/33/800 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1600/33/800 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),2000/33/800 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),2500/33/800 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),3150/33/800 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),4000/33/800 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),5000/33/800 EU,1,,,,,
,,no,,992 - Copper Assembly,,1,,,,,
,,no,CRGO,993 - 23ZDKH 75,,1,,,,,
,,no,CRGO,993 - 23ZDKH 85,,1,,,,,
,,no,CRGO,993 - 27ZH100,,1,,,,,
,,no,,994 - Tank Steel Trava Foot & Clamps,,1,,,,,
,,no,Radiators,995 - Radiators,100/11/415 EU CU Tank,1,,,,,
,,no,Radiators,995 - Radiators,160/11/415 EU CU Tank,1,,,,,
,,no,Radiators,995 - Radiators,250/11/415 EU CU Tank,1,,,,,
,,no,Radiators,995 - Radiators,400/11/415 EU CU Tank,1,,,,,
,,no,Radiators,995 - Radiators,630/11/415 EU CU Tank,1,,,,,
,,no,Radiators,995 - Radiators,800/11/415 EU CU Tank,1,,,,,
,,no,Radiators,995 - Radiators,100/33/415 EU CU Tank,1,,,,,
,,no,Radiators,995 - Radiators,1000/11/415 EU CU Tank,1,,,,,
,,no,Radiators,995 - Radiators,1000/33/415 EU CU Tank,1,,,,,
,,no,Radiators,995 - Radiators,400/33/415 EU CU Tank,1,,,,,
,,no,Radiators,995 - Radiators,630/33/415 EU CU Tank,1,,,,,
